time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:48:24.553937,9650,1751712504,553316444,,1751712504,340504000,fcu
2025/07/05/17:48:24.654114,9651,1751712504,653293372,,1751712504,440785000,fcu
2025/07/05/17:48:24.753834,9652,1751712504,753015285,,1751712504,540797000,fcu
2025/07/05/17:48:24.853750,9653,1751712504,852924064,,1751712504,640771000,fcu
2025/07/05/17:48:24.953575,9654,1751712504,953311303,,1751712504,740886000,fcu
2025/07/05/17:48:25.053773,9655,1751712505,52980425,,1751712504,840992000,fcu
2025/07/05/17:48:25.153675,9656,1751712505,152932297,,1751712504,940806000,fcu
2025/07/05/17:48:25.253959,9657,1751712505,253054965,,1751712505,40876000,fcu
2025/07/05/17:48:25.395553,9658,1751712505,394818123,,1751712505,182296000,fcu
2025/07/05/17:48:25.533787,9659,1751712505,533266231,,1751712505,320493000,fcu
2025/07/05/17:48:25.614597,9660,1751712505,614077076,,1751712505,401890000,fcu
2025/07/05/17:48:25.694657,9661,1751712505,693927781,,1751712505,481966000,fcu
2025/07/05/17:48:25.794637,9662,1751712505,793895428,,1751712505,582004000,fcu
2025/07/05/17:48:25.873968,9663,1751712505,873862598,,1751712505,661312000,fcu
2025/07/05/17:48:25.995619,9664,1751712505,994844414,,1751712505,782390000,fcu
2025/07/05/17:48:26.094680,9665,1751712506,94024203,,1751712505,881772000,fcu
2025/07/05/17:48:26.173498,9666,1751712506,173032860,,1751712505,961056000,fcu
2025/07/05/17:48:26.253789,9667,1751712506,253476367,,1751712506,40878000,fcu
2025/07/05/17:48:26.353619,9668,1751712506,353029832,,1751712506,140781000,fcu
2025/07/05/17:48:26.514716,9669,1751712506,513819053,,1751712506,301680000,fcu
2025/07/05/17:48:26.615326,9670,1751712506,614567620,,1751712506,401987000,fcu
2025/07/05/17:48:26.694795,9671,1751712506,693958655,,1751712506,481914000,fcu
2025/07/05/17:48:26.773804,9672,1751712506,772886122,,1751712506,561113000,fcu
2025/07/05/17:48:26.873456,9673,1751712506,873316247,,1751712506,661073000,fcu
2025/07/05/17:48:26.953848,9674,1751712506,952996146,,1751712506,740875000,fcu
2025/07/05/17:48:27.053679,9675,1751712507,53115431,,1751712506,840773000,fcu
2025/07/05/17:48:27.133627,9676,1751712507,133006390,,1751712506,920795000,fcu
2025/07/05/17:48:27.236485,9677,1751712507,236200096,,1751712507,23765000,fcu
2025/07/05/17:48:27.333842,9678,1751712507,333150414,,1751712507,120316000,fcu
2025/07/05/17:48:27.495323,9679,1751712507,494707409,,1751712507,282180000,fcu
2025/07/05/17:48:27.594883,9680,1751712507,594057540,,1751712507,381988000,fcu
2025/07/05/17:48:27.673520,9681,1751712507,673270570,,1751712507,461328000,fcu
2025/07/05/17:48:27.795559,9682,1751712507,794610944,,1751712507,581970000,fcu
