time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:19.523640,14640,1751712259,523253103,,11.982000350952148,0.0,-0.41999998688697815,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.982000350952148,)",(),id1,
2025/07/05/17:44:19.562656,14641,1751712259,561798960,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.606323,14642,1751712259,604900181,,11.982000350952148,0.0,-0.41999998688697815,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.982000350952148,)",(),id1,
2025/07/05/17:44:19.643344,14643,1751712259,642691119,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.684085,14644,1751712259,682649679,,11.988000869750977,0.0,-0.25999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.988000869750977,)",(),id1,
2025/07/05/17:44:19.742220,14645,1751712259,741930092,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.804277,14646,1751712259,803770739,,11.988000869750977,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.988000869750977,)",(),id1,
2025/07/05/17:44:19.843437,14647,1751712259,842038647,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.923791,14648,1751712259,923147243,,11.955000877380371,0.0,-0.19999998807907104,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.955000877380371,)",(),id1,
2025/07/05/17:44:19.963166,14649,1751712259,962360867,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.005147,14650,1751712260,4582383,,11.955000877380371,0.0,-0.19999998807907104,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.955000877380371,)",(),id1,
2025/07/05/17:44:20.063114,14651,1751712260,62410306,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:20.123997,14652,1751712260,123444753,,11.998000144958496,0.0,-0.25999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.998000144958496,)",(),id1,
2025/07/05/17:44:20.163034,14653,1751712260,162668636,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
