time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:45.671210,11079,1751712585,670423520,,2959395452000,1751709626268049969,1751709626283147008,13.828344345092773
2025/07/05/17:49:45.770922,11080,1751712585,770395621,,2959495106000,1751709626268402348,1751709626283147008,13.769390106201172
2025/07/05/17:49:45.870615,11081,1751712585,870200068,,2959594993000,1751709626268396372,1751709626283147008,13.594693183898926
2025/07/05/17:49:45.971064,11082,1751712585,970239781,,2959695247000,1751709626268163537,1751709626283147008,13.639581680297852
2025/07/05/17:49:46.071000,11083,1751712586,70197986,,2959794517000,1751709626268800342,1751709626283147008,13.465787887573242
2025/07/05/17:49:46.172207,11084,1751712586,171234477,,2959895295000,1751709626268750216,1751709626283147008,14.364290237426758
2025/07/05/17:49:46.271130,11085,1751712586,270226293,,2959995316000,1751709626268094907,1751709626283147008,13.61303997039795
2025/07/05/17:49:46.370780,11086,1751712586,370243907,,2960095113000,1751709626268308820,1751709626283147008,13.62440299987793
2025/07/05/17:49:46.470704,11087,1751712586,470181139,,2960194490000,1751709626268966692,1751709626283147008,13.445317268371582
2025/07/05/17:49:46.570361,11088,1751712586,569948360,,2960295111000,1751709626268134671,1751709626283147008,13.398604393005371
2025/07/05/17:49:46.670971,11089,1751712586,670450192,,2960394545000,1751709626268878391,1751709626283147008,13.618537902832031
2025/07/05/17:49:46.770202,11090,1751712586,769876802,,2960495028000,1751709626268175695,1751709626283147008,13.341028213500977
2025/07/05/17:49:46.870334,11091,1751712586,869907562,,2960594512000,1751709626268710219,1751709626283147008,13.365857124328613
2025/07/05/17:49:46.970417,11092,1751712586,969953350,,2960694827000,1751709626268405926,1751709626283147008,13.434035301208496
2025/07/05/17:49:47.070548,11093,1751712587,70163641,,2960795445000,1751709626267906595,1751709626283147008,13.62014102935791
2025/07/05/17:49:47.173542,11094,1751712587,170012551,,2960894846000,1751709626268454063,1751709626283147008,13.41944408416748
